Year,Session Title,Type,Chair Institution,Chair Institution,Participant(s),Participant(s) Paper(s) (if applicable),Participant(s) Institution,Start Time,Day,Topical Index Categories,AHA Affiliated Societies
1975,Politics and Strategy in Vietnam: Kennedy and Johnson,Paper Presentation,,Duke University,,Measured Retaliation: The Johnson Administration’s Search for a Vietnam Strategy,"Center of Military History, Department of the Army",1:00 PM,3,"Military, Political, United States, Vietnam",
,,,,,,Vietnam: John F. Kennedy’s ‘Proving Ground of Democracy in Asia’,Stanford University,,,,
1975,Alternative Careers for A.B.'s and PH.D.'s in History,Panel,,California Polytechnic State University,,,Advisory Council on Historic Preservation,1:00 PM,3,Historical profession,
,,,,,,,National Urban Coalition,,,,
,,,,,,,State Historian of New York,,,,
1975,Saving the Survey Course: Innovative Methods in Teaching,Paper Presentation,,"Herbert H. Lehman College, City University of New York",,Competency-Based Methods,Winston-Salem State University,1:00 PM,3,Teaching,
,,,,,,Cognitive Mapping,Northeast Missouri State University,,,,
,,,,,,Self-Instructional Approaches,West Virginia University,,,,
1975,Spirituality of the Renaissance and Reformation,Paper Presentation,,"University of Massachusetts, Amherst",,Spirituality of the Renaissance and Reformation: Mainline Protestantism,Duke University,9:30 AM,4,"Reformation, Religion, Renaissance",
,,,,,,Spirituality of the Renaissance and Reformation: Radical Protestantism,Harvard University,,,,
,,,,,,Spirituality of the Renaissance and Reformation: Orthodox (Transformed Catholicism),Saint Mary's College,,,,
1975,Women and Historical Process: Enlightenment Views,Paper Presentation,,Dartmouth College,,Rousseau and Human History,Palo Alto,9:30 AM,4,"Women, Historiography",
,,,,,,Rousseau’s ‘New Woman’,"California State College, Sonoma",,,,
,,,,,,Women’s History: Enlightenment Historiography,Manhattan Community College,,,,
1975,Loyalists and Amnesty,Paper Presentation,,"Brooklyn College, City University of New York",,The Problem of Amnesty after the American Revolution,George Mason University,9:30 AM,4,"Bicentennial, United States",
,,,,,,Political Struggles in Massachusetts Towns during the American Revolution: Some Hypothetical Models,"Wheaton College, Illinois",,,,
,,,,,,Loyatism in Eastern Virginia: A Case Study,Atlas of Early American History,,,,
1975,The Realities of the Mid-Victorian United Kingdom,Paper Presentation,,Johns Hopkins University,,"Politics, Economics, Religion, and Society, 1856-68","St. John's College, Oxford",9:30 AM,4,"Great Britain, Political",
,,,,,,The Mid-Nineteenth Century Electoral Structure,Washington University,,,,
,,,,,,"The Cause of Parliamentary Reform, 1848-67",Virginia Polytechnic Institute,,,,
1975,Sexuality and History: Some Approaches to Deviant Behavior,Paper Presentation,,Ohio State University,,Buggery and the British Navy during the Napoleonic Wars,University of Denver,9:30 AM,4,"Great Britain, Social, United States",
,,,,,,"The Effect of Deviant Marriage Patterns on Fertility in
Nineteenth-Century America",Princeton University,,,,
,,,,,,Challenges to Societal Attitudes Toward 'Deviant’ Sex in the Late Nineteenth and Early Twentieth Centuries,"California State University, Northridge",,,,
1975,The Intellectual Currents of Nineteenth-Century Latin American Conservatism,Paper Presentation,,American University,,Lucas Alamán and Mexican Conservatism,"University of California, Irvine",9:30 AM,4,"Brazil, Colombia, Intellectual, Latin America, Mexico, Science",
,,,,,,M. A. Caro and Colombian Conservatism,University of Arizona,,,,
,,,,,,Bartolomé Herrera and Peruvian Conservatism,St. Thomas University,,,,
1975,The Search for a Useable Past in Native American Studies,Paper Presentation,,University of Florida,,Out of the Shadows: Writing Native American History from White Records,Marietta College,9:30 AM,4,"Archives, Native Americans, Social, United States",
,,,,,,Neglected Resources: The Native American and White Man’s Law before 1800,"University of Texas, El Paso",,,,
,,,,,,Capturing the Indian Point of View: Ethnocentricity and Ethnohistory,"University of California, Santa Barbara",,,,
1975,The Party and the Professors,Paper Presentation,,"University of Carolina, Greensboro",,National Socialism and German University Professors: An Overview,Fort Lewis College,9:30 AM,4,"Europe, Germany, Political",
,,,,,,National Socialism and German University Professors: The Physics Community,United States Army,,,,
1975,"Hungarian Foreign Policy in the Interwar Period, 1918-41",Paper Presentation,,Chatham College,,Hungary between Wilson and Lenin: The Foreign Policy of the Revolutionary Regime of Mihaly Karolyi,Montclair State College,9:30 AM,4,"Europe, Hungary, Political",
,,,,,,From Isolation to Alliance: Hungarian Foreign Policy in the 1920s,Yale University,,,,
,,,,,,"Miklos Horthy, Hungary, and the Coming of the European Crisis, 1932-41",University of Cincinnati,,,,
1975,Perspectives on the Urban History of Japan,Paper Presentation,,Princeton University,,Kyoto: The Severat Faces of an Imperial Capital,University of Michigan,9:30 AM,4,"Comparative, Japan, Urban",
,,,,,,Osaka: Civic Spirit in Administration,Harvard University,,,,
,,,,,,Edo: The Making of an Urban Identity,Cornell University,,,,
,,,,,,From the Perspective of Chinese Urban History,University of Pennsylvania,,,,
,,,,,,From the Perspective of European Urban History,Brown University,,,,
1975,Solzhenitsyn's View of the Past,Paper Presentation,,Colorado State University,,“The Gulag Archipelago” as a Political Document,Wheaton College,9:30 AM,4,"Comparative, Political",
,,,,,,Anti-Modernism of Solzhenitsyn,Brown University,,,,
1975,Myths and Realities in American Sport,Paper Presentation,,University of South Carolina,,Professional Baseball and American Society: The Progressive Era,"University of Michigan, Dearborn",9:30 AM,4,"Sport, United States",
,,,,,,American Intercollegiate Football: An Overview,Trinity School,,,,
1975,The Jew as Revolutionary in Early Twentieth-Century America,Paper Presentation,,"University of Massachusetts, Boston",,Daniel DeLeon,University of Toronto,9:30 AM,4,"Jews, United States",American Jewish Historical Society
,,,,,,Morris Hillquit,"City College, City University of New York",,,,
,,,,,,Abraham Cahan,International Ladies Garment Workers Union,,,,
1975,Unemployment and the Great Depression,Paper Presentation,,Duke University,,Labor Unions and the Unemployed in the Depression,Columbia University,9:30 AM,4,"Economic, Labor, United States",
,,,,,,Unemployment: Keynes’s Anticipations and Responses,"Bronx Community College, City University of New York",,,,
1975,FBI Files and the Historian: The Problem of Access,Paper Presentation,,Williams College,,The W. E. B. DuBois Files,Howard University,9:30 AM,4,"Archives, Historical profession, United States",
,,,,,,The Hiss and Rosenberg Files,Smith College,,,,
1975,Strategy for Victory in the Pacific: An Evaluation Thirty Years After,Paper Presentation,,Naval War College,,Admiral Ernest J. King,University of Maine,9:30 AM,4,"Asia, Military, United States",American Committee on the History of the Second World War
,,,,,,General George C. Marshall,Smithsonian Institution,,,,
,,,,,,"Admiral Chester W. Nimitz and the Central Pacific Offensive, 1943—45",United States Naval Academy,,,,
,,,,,,General Douglas MacArthur and the War in the Southeast Pacific,Mississippi State University,,,,
1975,History in the Community College,Paper Presentation,,Kennesaw Junior College,,"Footnotes, Fertilizers, and Fine Arts: Historical Teaching Techniques in a Junior College","Bainbridge Junior College, Georgia",9:30 AM,4,"Historical profession, Teaching",
,,,,,,Problems in Community College Teaching,Garland County Community College,,,,
,,,,,,Writing Community College Textbooks,Daytona Beach Community College,,,,
